model_name,parameter_count_b,numa_nodes,physical_cores,logical_cores,thread_count,cpu_affinity,sm_enabled,benchmark_type,oversubscribed,input_tokens_target,input_tokens_actual,max_output_tokens,context_window,batch_size,load_time_s,file_size_gb,ttft_ms,percentile_ttft_p50,percentile_ttft_p95,decode_rate_tps,percentile_tps_p50,percentile_tps_p95,effective_throughput_tps,parallel_efficiency,per_token_latency_ms,total_runtime_s,static_ram_gb,peak_ram_gb,kv_cache_growth_mb_per_1k,avg_cpu_util_percent,avg_saturated_cores,timeout_s,status,tps_per_billion_params,ram_per_billion_params,ttft_ms_per_billion_params,cies_score
Qwen 2.5 (0.5B),0.63,1,2,4,4,"[0, 1, 2, 3]",True,prefill,True,256,255,128,4096,1,1.16,0.46,49.16,49.16,49.23,,21.82,21.88,21.82,0.46,45.83,5.87,0.57,0.61,87.98,81.29,0.24,120,success,34.6349,0.9683,78.03,
Qwen 2.5 (0.5B),0.63,1,2,4,4,"[0, 1, 2, 3]",True,prefill,True,1024,1025,128,4096,1,1.16,0.46,52.53,52.53,52.58,,20.64,20.96,20.64,0.46,48.45,6.2,0.57,0.67,87.98,82.98,0.61,300,success,32.7619,1.0635,83.38,
Qwen 2.5 (0.5B),0.63,1,2,4,4,"[0, 1, 2, 3]",True,prefill,True,2048,2045,128,4096,1,1.16,0.46,55.98,55.98,56.89,,19.8,19.93,19.8,0.46,50.51,6.47,0.57,0.76,87.98,85.07,0.89,600,success,31.4286,1.2063,88.86,
Qwen 2.5 (0.5B),0.63,1,2,4,8,"[0, 1, 2, 3]",True,decode,True,short,28,256,4096,1,1.16,0.46,48.08,48.08,48.09,21.55,21.55,21.76,21.55,0.23,46.4,11.88,0.57,0.6,87.98,79.2,0.0,120,success,34.2063,0.9524,76.32,57.0155
Qwen 2.5 (0.5B),0.63,1,2,4,8,"[0, 1, 2, 3]",True,decode,True,short,28,1024,4096,1,1.16,0.46,48.13,48.13,48.28,21.4,21.4,21.41,21.4,0.23,46.73,47.86,0.57,0.66,87.98,79.7,0.0,300,success,33.9683,1.0476,76.4,51.4583
Qwen 2.5 (0.5B),0.63,1,2,4,8,"[0, 1, 2, 3]",True,decode,True,short,28,2048,4096,1,1.16,0.46,48.52,48.52,48.63,20.13,20.13,20.36,20.13,0.22,49.68,101.73,0.57,0.75,87.98,78.02,0.0,600,success,31.9524,1.1905,77.02,42.6063
Qwen 2.5 (0.5B),0.63,1,2,4,8,"[0, 1, 2, 3]",True,prefill,True,256,255,128,4096,1,1.16,0.46,49.29,49.29,49.46,,21.79,22.17,21.79,0.23,45.89,5.87,0.57,0.61,87.98,80.86,0.22,120,success,34.5873,0.9683,78.24,
Qwen 2.5 (0.5B),0.63,1,2,4,8,"[0, 1, 2, 3]",True,prefill,True,1024,1025,128,4096,1,1.16,0.46,52.21,52.21,52.29,,20.76,20.78,20.76,0.23,48.17,6.17,0.57,0.67,87.98,83.37,0.59,300,success,32.9524,1.0635,82.87,
Qwen 2.5 (0.5B),0.63,1,2,4,8,"[0, 1, 2, 3]",True,prefill,True,2048,2045,128,4096,1,1.16,0.46,56.98,56.98,57.28,,19.46,19.46,19.46,0.22,51.39,6.58,0.57,0.76,87.98,83.93,0.89,600,success,30.8889,1.2063,90.44,
Kiwi (0.7B),0.7,1,2,4,1,[0],True,decode,False,short,28,256,4096,1,1.29,0.5,127.3,127.3,127.32,7.91,7.91,7.91,7.91,1.0,126.42,32.37,0.62,0.65,84.78,25.05,1.0,120,success,11.3,0.9286,181.86,17.3819
